trial,epochs,subtype,Train ERM accuracy,Train ERM loss
0,10,fibroadenoma,0.8253638253638254,0.29391026052305236
0,10,tubular_adenoma,0.8804780876494024,0.29391026052305236
0,10,phyllodes_tumor,0.8954248366013072,0.29391026052305236
0,10,ductal_carcinoma,0.9200819672131147,0.29391026052305236
0,10,lobular_carcinoma,0.893970893970894,0.29391026052305236
0,10,mucinous_carcinoma,0.8080168776371308,0.29391026052305236
0,10,papillary_carcinoma,0.7991967871485943,0.29391026052305236
0,10,overall,0.8570322580645161,0.29391026052305236
0,11,adenosis,0.8081896551724138,0.2910782389128159
0,11,fibroadenoma,0.8364779874213837,0.2910782389128159
0,11,tubular_adenoma,0.8580375782881002,0.2910782389128159
0,11,phyllodes_tumor,0.8904665314401623,0.2910782389128159
0,11,ductal_carcinoma,0.9347826086956522,0.2910782389128159
