trial,epochs,Min_subtype,Min subclass accuracy,Max_subtype,Max subclass accuracy
3.0,24.0,1.0,0.8401253918495298,5.0,0.9532710280373832
3.0,25.0,1.0,0.8557993730407524,4.0,0.9447731755424064
3.0,26.0,1.0,0.8150470219435737,4.0,0.9684418145956607
3.0,27.0,7.0,0.84375,0.0,0.954954954954955
3.0,28.0,1.0,0.8213166144200627,5.0,0.9626168224299065
3.0,29.0,1.0,0.8307210031347962,5.0,0.9626168224299065
3.0,30.0,1.0,0.8369905956112853,4.0,0.9467455621301775
3.0,31.0,1.0,0.8401253918495298,4.0,0.9437869822485208
3.0,32.0,1.0,0.8150470219435737,4.0,0.960552268244576
3.0,33.0,1.0,0.8056426332288401,4.0,0.9684418145956607
3.0,34.0,1.0,0.8495297805642633,0.0,0.9459459459459459
3.0,35.0,1.0,0.8150470219435737,4.0,0.9644970414201184
3.0,36.0,1.0,0.8150470219435737,5.0,0.9672897196261683
3.0,37.0,1.0,0.8119122257053292,5.0,0.9672897196261683
3.0,38.0,1.0,0.8526645768025078,5.0,0.9485981308411215
3.0,39.0,1.0,0.8150470219435737,5.0,0.9579439252336449
3.0,40.0,1.0,0.8244514106583072,4.0,0.9694280078895463
3.0,41.0,1.0,0.8244514106583072,5.0,0.9579439252336449
3.0,42.0,1.0,0.8244514106583072,5.0,0.9532710280373832
3.0,43.0,6.0,0.84688995215311,4.0,0.9388560157790927
3.0,44.0,1.0,0.8150470219435737,5.0,0.9579439252336449
3.0,45.0,1.0,0.8244514106583072,4.0,0.960552268244576
3.0,46.0,1.0,0.8432601880877743,5.0,0.9579439252336449
3.0,47.0,1.0,0.8213166144200627,5.0,0.9672897196261683
3.0,48.0,1.0,0.8307210031347962,4.0,0.9536489151873767
3.0,49.0,1.0,0.8307210031347962,5.0,0.9532710280373832
3.0,50.0,1.0,0.8463949843260188,5.0,0.9345794392523364
3.0,51.0,1.0,0.8244514106583072,5.0,0.9579439252336449
3.0,52.0,1.0,0.8275862068965517,5.0,0.9579439252336449
3.0,53.0,1.0,0.8338557993730408,5.0,0.9532710280373832
3.0,54.0,1.0,0.8432601880877743,5.0,0.9439252336448598
3.0,55.0,1.0,0.8338557993730408,5.0,0.9579439252336449
3.0,56.0,1.0,0.8150470219435737,5.0,0.9626168224299065
3.0,57.0,1.0,0.8338557993730408,5.0,0.9532710280373832
4.0,0.0,1.0,0.8150470219435737,5.0,0.9626168224299065
4.0,1.0,1.0,0.8119122257053292,5.0,0.9672897196261683
4.0,2.0,1.0,0.8181818181818182,5.0,0.9672897196261683
4.0,3.0,6.0,0.8421052631578947,0.0,0.9369369369369369
4.0,4.0,1.0,0.8338557993730408,5.0,0.9485981308411215
4.0,5.0,1.0,0.8463949843260188,5.0,0.9485981308411215
4.0,6.0,1.0,0.8369905956112853,4.0,0.9516765285996055
4.0,7.0,1.0,0.8307210031347962,5.0,0.9626168224299065
4.0,8.0,1.0,0.8275862068965517,5.0,0.9626168224299065
4.0,9.0,1.0,0.8307210031347962,4.0,0.9536489151873767
4.0,10.0,1.0,0.8526645768025078,0.0,0.9459459459459459
4.0,11.0,1.0,0.786833855799373,5.0,0.9766355140186916
4.0,12.0,6.0,0.8564593301435407,0.0,0.954954954954955
